[('❤', 18.63), ('😊', 10.16), ('💙', 8.6), ('🖤', 8.4), ('💕', 8.4), ('🔥', 6.35), ('💜', 5.8), ('😍', 4.43), ('✨', 4.14), ('🤣', 4.1), ('💯', 3.36), ('😂', 3.03), ('🎄', 3.0), ('😭', 2.8), ('😩', 2.31), ('🙄', 2.12), ('👀', 1.47), ('😔', 1.37), ('💀', 0.85), ('🤔', 0.68)]
[('💕', 27.6), ('🤣', 9.92), ('❤', 8.84), ('💙', 7.44), ('😊', 7.29), ('💜', 6.05), ('🔥', 5.12), ('😂', 4.5), ('😭', 4.03), ('🤔', 3.88), ('😍', 3.26), ('✨', 3.1), ('😔', 2.79), ('👀', 2.48), ('🎄', 1.24), ('🙄', 0.78), ('🖤', 0.78), ('💯', 0.62), ('😩', 0.16), ('💀', 0.16)]

[('🔥', 17.55), ('✨', 13.1), ('😊', 9.22), ('💯', 7.39), ('🖤', 6.5), ('💜', 6.34), ('🎄', 5.66), ('❤', 5.55), ('😍', 5.29), ('💙', 4.56), ('👀', 4.19), ('🙄', 3.25), ('💕', 2.88), ('🤣', 2.72), ('🤔', 1.31), ('😔', 1.15), ('💀', 1.15), ('😭', 0.94), ('😩', 0.94), ('😂', 0.31)]

[('💯', 11.05), ('😔', 10.92), ('🙄', 10.25), ('😩', 9.02), ('😭', 7.12), ('😂', 6.8), ('🤔', 6.6), ('😊', 5.74), ('🤣', 5.37), ('👀', 4.59), ('💀', 4.43), ('💕', 3.52), ('❤', 2.95), ('💙', 2.82), ('🖤', 2.55), ('✨', 2.19), ('😍', 1.38), ('💜', 1.38), ('🔥', 1.04), ('🎄', 0.29)]

[('🤣', 16.83), ('🙄', 13.5), ('💯', 11.76), ('😭', 9.19), ('😩', 8.95), ('💀', 8.51), ('😂', 8.36), ('😔', 7.13), ('👀', 3.96), ('🤔', 3.68), ('🔥', 1.86), ('😊', 1.31), ('💕', 1.19), ('💙', 0.87), ('😍', 0.75), ('✨', 0.75), ('🖤', 0.59), ('❤', 0.48), ('💜', 0.28), ('🎄', 0.04)]

[('💯', 12.45), ('😔', 11.77), ('🤣', 7.69), ('🙄', 7.38), ('🤔', 6.99), ('😩', 6.51), ('😭', 6.12), ('😊', 5.82), ('😂', 5.74), ('💀', 5.26), ('👀', 4.98), ('💕', 4.83), ('❤', 3.15), ('✨', 3.0), ('💙', 2.08), ('🖤', 2.04), ('💜', 1.87), ('😍', 1.07), ('🔥', 1.01), ('🎄', 0.26)]

[('😩', 11.97), ('😂', 8.29), ('😍', 7.9), ('👀', 6.72), ('😭', 6.6), ('🔥', 5.66), ('🖤', 5.53), ('🤣', 5.21), ('🤔', 4.95), ('💕', 4.46), ('😔', 4.41), ('🙄', 4.38), ('😊', 4.2), ('✨', 4.02), ('💀', 3.96), ('💯', 3.5), ('❤', 2.87), ('💙', 2.29), ('💜', 2.11), ('🎄', 0.97)]

[('🖤', 9.56), ('😔', 8.45), ('🤔', 8.22), ('🙄', 7.78), ('😩', 7.27), ('😊', 7.24), ('😭', 6.54), ('💯', 6.49), ('😂', 6.0), ('👀', 4.84), ('✨', 4.59), ('🤣', 4.15), ('💙', 4.0), ('💕', 3.7), ('❤', 3.26), ('🔥', 2.42), ('💀', 2.04), ('💜', 1.68), ('😍', 1.16), ('🎄', 0.6)]

[('😂', 14.13), ('🔥', 10.77), ('👀', 9.95), ('✨', 7.51), ('🤔', 7.28), ('🤣', 6.47), ('💙', 4.65), ('😊', 4.52), ('💀', 4.07), ('🖤', 3.68), ('😔', 3.45), ('💕', 3.42), ('😍', 3.24), ('💯', 2.94), ('😭', 2.85), ('❤', 2.8), ('🎄', 2.57), ('🙄', 2.2), ('💜', 1.81), ('😩', 1.67)]

[('😩', 17.49), ('🙄', 13.19), ('😭', 11.43), ('😔', 9.07), ('🤣', 7.78), ('💀', 6.54), ('😂', 6.36), ('🤔', 4.34), ('💯', 4.3), ('👀', 3.26), ('😊', 2.58), ('🔥', 2.17), ('😍', 2.04), ('❤', 1.99), ('💕', 1.9), ('💙', 1.74), ('🖤', 1.43), ('✨', 1.11), ('💜', 0.81), ('🎄', 0.48)]

[('😊', 25.17), ('✨', 18.79), ('💕', 16.78), ('💙', 14.09), ('❤', 8.72), ('🖤', 6.04), ('💜', 4.03), ('🙄', 1.68), ('💯', 1.01), ('💀', 0.67), ('🎄', 0.67), ('🤣', 0.34), ('😩', 0.34), ('😔', 0.34), ('😍', 0.34), ('😂', 0.34), ('🔥', 0.34), ('👀', 0.34)]

[('🎄', 83.36), ('💙', 4.88), ('💕', 2.58), ('❤', 2.44), ('🖤', 1.72), ('😊', 1.0), ('✨', 1.0), ('💜', 0.72), ('😩', 0.57), ('😂', 0.43), ('🤣', 0.29), ('😍', 0.29), ('👀', 0.29), ('🙄', 0.14), ('😭', 0.14), ('💯', 0.14)]

[('💀', 25.22), ('💕', 12.74), ('✨', 9.95), ('😊', 7.03), ('❤', 6.08), ('🔥', 5.39), ('🖤', 4.69), ('💙', 4.63), ('💜', 4.37), ('💯', 3.23), ('👀', 2.92), ('🤔', 2.79), ('🤣', 2.34), ('😭', 2.28), ('🎄', 1.96), ('😂', 1.58), ('🙄', 1.14), ('😍', 0.82), ('😔', 0.63), ('😩', 0.19)]

[('✨', 16.94), ('🔥', 14.65), ('👀', 9.89), ('🖤', 8.57), ('💯', 6.58), ('💙', 6.31), ('😂', 5.75), ('❤', 4.64), ('💕', 3.85), ('💀', 3.6), ('😍', 3.44), ('😊', 3.09), ('🤣', 2.35), ('🎄', 1.85), ('🤔', 1.68), ('😭', 1.54), ('💜', 1.5), ('😩', 1.42), ('😔', 1.42), ('🙄', 0.9)]

[('💀', 48.55), ('🤣', 9.11), ('😩', 8.51), ('✨', 3.89), ('😭', 2.87), ('❤', 2.66), ('😔', 2.54), ('😂', 2.44), ('🤔', 2.35), ('💕', 2.35), ('💙', 2.15), ('👀', 1.92), ('🙄', 1.84), ('😊', 1.76), ('😍', 1.72), ('🖤', 1.6), ('🔥', 1.39), ('💯', 1.06), ('💜', 1.06), ('🎄', 0.23)]

[('❤', 15.86), ('💙', 15.17), ('🖤', 8.05), ('💕', 7.82), ('🔥', 6.9), ('💜', 6.9), ('😊', 6.44), ('👀', 5.52), ('😍', 4.37), ('💯', 4.14), ('✨', 3.91), ('🤔', 2.76), ('💀', 2.76), ('🎄', 2.76), ('🙄', 1.84), ('😔', 1.38), ('🤣', 1.15), ('😭', 1.15), ('😂', 1.15)]

[('✨', 12.68), ('💕', 9.09), ('❤', 7.41), ('🔥', 7.18), ('👀', 7.16), ('🖤', 6.98), ('💙', 5.07), ('💀', 4.82), ('😭', 4.8), ('💜', 4.73), ('🤣', 4.68), ('😍', 4.64), ('😂', 4.0), ('💯', 3.73), ('🤔', 3.34), ('😊', 3.23), ('🙄', 2.16), ('🎄', 1.95), ('😔', 1.32), ('😩', 1.02)]

[('🔥', 15.43), ('👀', 9.14), ('✨', 8.78), ('💙', 7.36), ('🖤', 6.85), ('❤', 6.54), ('💜', 5.32), ('😊', 5.08), ('💕', 5.08), ('🤣', 4.41), ('😂', 4.17), ('🤔', 4.04), ('😭', 3.04), ('💯', 2.79), ('💀', 2.64), ('😔', 2.55), ('😍', 2.55), ('🙄', 1.8), ('🎄', 1.64), ('😩', 0.8)]
